FBgn_mel	gene_symbol_mel	scaffold_mel	location_mel	strand_mel	FBgn_sim	gene_symbol_sim	scaffold_sim	location_sim	strand_sim	orthoDB_ID_sim	gene_symbol_yak	scaffold_yak	location_yak	strand_yak	FBgn_yak	orthoDB_ID_yak
1	FBgn0000008	a	2R	22136968..22172834	1	FBgn0269458	Dsim\GD28168	Scf_2R	18518216..18553140	1	EOG091902HN	a	2R	22136968..22172834	1	FBgn0231782	Dyak\GE14160
2	FBgn0000014	abd-A	3R	16807214..16830049	-1	FBgn0191744	Dsim\GD20268	Scf_3R	8599253..8621866	1	EOG09190E68	abd-A	3R	16807214..16830049	-1	FBgn0243166	Dyak\GE26127
3	FBgn0000015	Abd-B	3R	16927212..16972236	-1	FBgn0025043	Dsim\Abd-B	Scf_3R	8497493..8503049	1	EOG09190F6X	Abd-B	3R	16927212..16972236	-1	FBgn0243162	Dyak\GE26123
4	FBgn0000018	abo	2L	10973443..10975293	-1	FBgn0193617	Dsim\GD22208	Scf_2L	10630469..10632308	-1	EOG091905OX	abo	2L	10973443..10975293	-1	FBgn0230830	Dyak\GE13132
5	FBgn0000022	ac	X	370031..370947	1	FBgn0269163	Dsim\GD27873	Scf_X	191245..192636	1	EOG09190HGD	ac	X	370031..370947	1	FBgn0022828	Dyak\ac
6	FBgn0000024	Ace	3R	13222951..13259517	-1	FBgn0022516	Dsim\Ace	Scf_3R	12087670..12124207	1	EOG091903S4	Ace	3R	13222951..13259517	-1	FBgn0241576	Dyak\GE24460
7	FBgn0000028	acj6	X	15350239..15379064	-1	FBgn0187465	Dsim\GD15807	Scf_X	14395665..14422243	-1	EOG09190B67	acj6	X	15350239..15379064	-1	FBgn0233604	Dyak\GE16054
8	FBgn0000032	Acph-1	3R	29991144..29993411	-1	FBgn0189058	Dsim\GD17508	Scf_3R	25163062..25165316	-1	EOG0919073D	Acph-1	3R	29991144..29993411	-1	FBgn0228271	Dyak\GE10406
9	FBgn0000036	nAChRalpha1	3R	24393896..24457157	-1	FBgn0189822	Dsim\GD18289	Scf_3R	19757441..19808894	-1	EOG091905G0	nAChRalpha1	3R	24393896..24457157	-1	FBgn0228637	Dyak\GE10796
10	FBgn0000037	mAChR-A	2R	24378630..24390294	-1	FBgn0196275	Dsim\GD24962	Scf_2R	20698233..20708192	-1	EOG0919048X	mAChR-A	2R	24378630..24390294	-1	FBgn0229272	Dyak\GE11467
11	FBgn0000038	nAChRbeta1	3L	4429349..4435993	1	FBgn0185542	Dsim\GD13845	Scf_3L	4381498..4388076	1	EOG091905XN	nAChRbeta1	3L	4429349..4435993	1	FBgn0238706	Dyak\GE21448
12	FBgn0000039	nAChRalpha2	3R	24485428..24491147	1	FBgn0192557	Dsim\GD21103	Scf_3R	19842061..19847732	1	EOG091905CP	nAChRalpha2	3R	24485428..24491147	1	FBgn0240670	Dyak\GE23490
13	FBgn0000052	Pfas	2L	6041181..6046050	-1	FBgn0194006	Dsim\GD22605	Scf_2L	5836550..5841380	-1	EOG0919012M	Pfas	2L	6041181..6046050	-1	FBgn0236323	Dyak\GE18953
14	FBgn0000053	Gart	2L	7014623..7023898	-1	FBgn0193920	Dsim\GD22518	Scf_2L	6776908..6785783	-1	EOG0919017N	Gart	2L	7014623..7023898	-1	FBgn0235802	Dyak\GE18382
15	FBgn0000056	Adhr	2L	14615552..14618902	1	FBgn0012825	Dsim\Adhr	Scf_2L	14154547..14157850	1	EOG09190DA4	Adhr	2L	14615552..14618902	1	FBgn0013164	Dyak\Adhr
16	FBgn0000057	adp	2R	18151704..18154060	1	FBgn0183092	Dsim\GD11343	Scf_2R	14675129..14677572	1	EOG091903QN	adp	2R	18151704..18154060	1	FBgn0229708	Dyak\GE11926
17	FBgn0000061	al	2L	378112..387439	1	FBgn0194411	Dsim\GD23020	Scf_2L	350597..360236	1	EOG09190BSX	al	2L	378112..387439	1	FBgn0234262	Dyak\GE16769
18	FBgn0000063	Mps1	3R	17671271..17673828	1	FBgn0190685	Dsim\GD19180	Scf_3R	7768004..7771101	-1	EOG0919051W	Mps1	3R	17671271..17673828	1	FBgn0242558	Dyak\GE25491
19	FBgn0000064	Ald1	3R	26254069..26261591	-1	FBgn0189683	Dsim\GD18141	Scf_3R	21564317..21571420	-1	EOG09190AKG	Ald1	3R	26254069..26261591	-1	FBgn0228487	Dyak\GE10635
20	FBgn0000071	Ama	3R	6762593..6765261	1	FBgn0046919	Dsim\Ama	Scf_3R	2480201..2484535	1	EOG09190BE6	Ama	3R	6762593..6765261	1	FBgn0241979	Dyak\GE24882
21	FBgn0000075	amd	2L	19110154..19114110	1	FBgn0018304	Dsim\amd	Scf_2L	18626826..18630775	1	EOG091906PN	amd	2L	19110154..19114110	1	FBgn0230925	Dyak\GE13232
22	FBgn0000077	amx	X	9245915..9247336	-1	FBgn0195895	Dsim\GD24561	Scf_X	8674558..8675936	-1	EOG09190E7H	amx	X	9245915..9247336	-1	FBgn0233036	Dyak\GE15460
23	FBgn0000084	AnxB10	X	20171445..20173514	-1	FBgn0194323	Dsim\GD22929	Scf_X	18889470..18891359	-1	EOG09190BTV	AnxB10	X	20171445..20173514	-1	FBgn0232944	Dyak\GE15364
24	FBgn0000092	dyw	X	2692732..2693886	-1	FBgn0063996	Dsim\GD24605	Scf_X	2388846..2390042	-1	EOG09190E1B	dyw	X	2692732..2693886	-1	FBgn0013174	Dyak\GE16930
25	FBgn0000094	Anp	3R	30209948..30210382	1	FBgn0025411	Dsim\Anp	Scf_3R	25380944..25381317	1	EOG09190L1J	Anp	3R	30209948..30210382	1	FBgn0046894	Dyak\Anp
26	FBgn0000097	aop	2L	2156484..2178754	-1	FBgn0194265	Dsim\GD22871	Scf_2L	2050669..2072218	-1	EOG091905CC	aop	2L	2156484..2178754	-1	FBgn0232811	Dyak\GE15223
27	FBgn0000108	Appl	X	530501..579044	1	FBgn0188117	Dsim\GD16511	Scf_X	344708..383407	1	EOG091903KP	Appl	X	530501..579044	1	FBgn0234121	Dyak\GE16620
28	FBgn0000109	Aprt	3L	1883795..1885019	-1	FBgn0185140	Dsim\GD13427	Scf_3L	1793294..1794420	-1	EOG09190HEI	Aprt	3L	1883795..1885019	-1	FBgn0238192	Dyak\GE20903
29	FBgn0000114	bru1	2L	12175004..12313438	1	FBgn0195198	Dsim\GD23828	Scf_2L	11827379..11928004	1	EOG091907LZ	bru1	2L	12175004..12313438	1	FBgn0235987	Dyak\GE18580
30	FBgn0000115	Arl1	3L	15983135..15984362	1	FBgn0186266	Dsim\GD14586	Scf_3L	15594724..15596282	1	EOG09190GH6	Arl1	3L	15983135..15984362	1	FBgn0240083	Dyak\GE22880
31	FBgn0000116	Argk	3L	9048781..9066027	-1	FBgn0270458	Dsim\GD29168	Scf_3L	8826243..8843316	-1	EOG091907J8	Argk	3L	9048781..9066027	-1	FBgn0238532	Dyak\GE21263
32	FBgn0000117	arm	X	1891401..1900646	-1	FBgn0188022	Dsim\GD16405	Scf_X	1642944..1652221	-1	EOG091902HS	arm	X	1891401..1900646	-1	FBgn0234484	Dyak\GE16998
33	FBgn0000119	arr	2R	13453640..13483229	-1	FBgn0197040	Dsim\GD25759	Scf_2R	10004326..10034154	-1	EOG091900D7	arr	2R	13453640..13483229	-1	FBgn0231039	Dyak\GE13360
34	FBgn0000120	Arr1	2L	18078269..18081307	1	FBgn0195482	Dsim\GD24126	Scf_2L	17584534..17586679	1	EOG09190AIU	Arr1	2L	18078269..18081307	1	FBgn0068531	Dyak\Arr1
35	FBgn0000121	Arr2	3L	8647261..8648936	-1	FBgn0184693	Dsim\GD12969	Scf_3L	8429598..8431271	-1	EOG091909KO	Arr2	3L	8647261..8648936	-1	FBgn0238556	Dyak\GE21289
36	FBgn0000137	ase	X	460747..463176	1	FBgn0188111	Dsim\GD16504	Scf_X	276877..278769	1	EOG091909TX	ase	X	460747..463176	1	FBgn0022827	Dyak\ase
37	FBgn0000139	ash2	3R	24650125..24653376	1	FBgn0192569	Dsim\GD21115	Scf_ICT21	9541..11499	-1	EOG091904RZ	ash2	3R	24650125..24653376	1	FBgn0240682	Dyak\GE23503
38	FBgn0000140	asp	3R	24753849..24760513	1	FBgn0192578	Dsim\GD21126	Scf_3R	20094573..20101158	1	EOG091900AB	asp	3R	24753849..24760513	1	FBgn0240690	Dyak\GE23511
39	FBgn0000146	aub	2L	10997819..11001476	-1	FBgn0193614	Dsim\GD22205	Scf_2L	10655092..10658816	-1	EOG091902GS	aub	2L	10997819..11001476	-1	FBgn0230801	Dyak\GE13099
40	FBgn0000147	aurA	3R	11963124..11964826	1	FBgn0190309	Dsim\GD18792	Scf_3R	13317106..13318820	-1	EOG09190965	aurA	3R	11963124..11964826	1	FBgn0243187	Dyak\GE26150
41	FBgn0000150	awd	3R	31745172..31746077	-1	FBgn0187960	Dsim\GD16337	Scf_3R	26846380..26847282	-1	EOG09190GPG	awd	3R	31745172..31746077	-1	FBgn0067997	Dyak\awd
42	FBgn0000152	Axs	X	16680089..16683895	-1	FBgn0187395	Dsim\GD15734	Scf_X	15662507..15666313	-1	EOG091904YN	Axs	X	16680089..16683895	-1	FBgn0233223	Dyak\GE15653
43	FBgn0000153	b	2L	13821248..13823979	1	FBgn0195294	Dsim\GD23928	Scf_2L	13368761..13371383	1	EOG0919051E	b	2L	13821248..13823979	1	FBgn0236086	Dyak\GE18686
44	FBgn0000157	Dll	2R	24814822..24835667	1	FBgn0183640	Dsim\GD11901	Scf_2R	21120007..21139393	1	EOG09190DP7	Dll	2R	24814822..24835667	1	FBgn0232053	Dyak\GE14447
45	FBgn0000158	bam	3R	25243039..25245109	-1	FBgn0084466	Dsim\bam	Scf_3R	20577834..20579860	-1	EOG091909YQ	bam	3R	25243039..25245109	-1	FBgn0086004	Dyak\bam
46	FBgn0000163	baz	X	17160006..17200728	1	FBgn0188891	Dsim\GD17331	Scf_X	16159281..16195147	1	EOG0919020L	baz	X	17160006..17200728	1	FBgn0235097	Dyak\GE17646
47	FBgn0000166	bcd	3R	6755842..6759466	-1	FBgn0012864	Dsim\bcd	Scf_3R	2475592..2478956	-1	EOG09190CD2	bcd	3R	6755842..6759466	-1	FBgn0242878	Dyak\GE25828
48	FBgn0000173	ben	X	13996345..13999805	1	FBgn0188718	Dsim\GD17149	Scf_X	13134064..13137340	1	EOG09190HH0	ben	X	13996345..13999805	1	FBgn0234595	Dyak\GE17114
